2014-06-18T18:46:21+02:00,131.254.16.128,
2014-06-19T04:51:08+02:00,66.108.54.31,
2014-06-19T10:39:17+02:00,194.254.120.128,
2014-06-19T11:54:04+02:00,131.254.16.128,
2014-06-19T15:02:31+02:00,131.254.14.82,
2014-06-19T16:14:55+02:00,77.10.227.66,
2014-06-19T16:26:56+02:00,109.125.52.225,
2014-06-20T01:09:06+02:00,62.78.198.208,
2014-06-20T23:53:43+02:00,197.28.176.149,
2014-06-21T00:22:13+02:00,176.193.107.49,
2014-06-22T15:53:14+02:00,36.54.239.44,
2014-06-23T11:51:43+02:00,134.102.148.184,
2014-06-23T12:05:58+02:00,143.167.179.72,
2014-06-23T12:12:22+02:00,134.102.148.184,
2014-06-23T13:24:06+02:00,134.102.148.184,
2014-06-23T13:24:11+02:00,134.102.148.206,
2014-06-23T13:24:11+02:00,134.102.148.247,
2014-06-23T13:24:15+02:00,134.102.148.96,
2014-06-23T13:24:15+02:00,134.102.148.229,
2014-06-23T13:24:28+02:00,134.102.148.44,
2014-06-23T13:24:32+02:00,134.102.148.180,
2014-06-23T13:24:32+02:00,134.102.119.241,
2014-06-23T13:24:35+02:00,134.102.148.60,
2014-06-23T13:24:43+02:00,134.102.148.60,
2014-06-23T13:24:43+02:00,134.102.148.201,
2014-06-23T13:24:43+02:00,134.102.148.136,
2014-06-23T13:24:47+02:00,134.102.118.4,
2014-06-23T13:24:47+02:00,134.102.148.23,
2014-06-23T13:24:47+02:00,134.102.148.39,
2014-06-23T13:24:54+02:00,134.102.148.180,
2014-06-23T13:25:24+02:00,134.102.148.119,
2014-06-23T13:25:33+02:00,134.102.148.122,
2014-06-23T13:25:55+02:00,134.102.119.241,
2014-06-23T13:26:12+02:00,134.102.148.23,
2014-06-23T13:26:18+02:00,134.102.148.201,
2014-06-23T13:26:28+02:00,134.102.148.119,
2014-06-23T13:26:30+02:00,134.102.148.184,
2014-06-23T13:26:44+02:00,134.102.148.136,
2014-06-23T13:27:00+02:00,134.102.148.79,
2014-06-23T13:27:12+02:00,134.102.148.247,
2014-06-23T13:27:24+02:00,134.102.148.201,
2014-06-23T13:27:56+02:00,92.77.116.44,
2014-06-23T13:28:35+02:00,134.102.148.96,
2014-06-23T13:29:05+02:00,134.102.148.201,
2014-06-23T13:29:28+02:00,134.102.148.123,
2014-06-23T13:29:59+02:00,134.102.148.96,
2014-06-23T13:30:12+02:00,134.102.148.96,
2014-06-23T13:31:19+02:00,134.102.148.119,
2014-06-23T13:32:16+02:00,134.102.148.184,
2014-06-23T13:32:24+02:00,46.165.220.216,
2014-06-23T13:34:51+02:00,134.102.148.229,
2014-06-23T13:41:16+02:00,134.102.148.184,
2014-06-23T13:46:42+02:00,134.102.148.184,
2014-06-23T13:49:59+02:00,134.102.148.74,
2014-06-23T13:53:02+02:00,134.102.148.247,
2014-06-23T14:20:07+02:00,134.102.148.184,
2014-06-23T14:44:59+02:00,194.199.107.34,
2014-06-23T15:30:11+02:00,134.102.8.118,
2014-06-23T16:06:58+02:00,76.30.92.112,
2014-06-23T17:37:41+02:00,24.134.157.64,
2014-06-24T10:34:34+02:00,147.99.211.98,
2014-06-24T15:21:00+02:00,194.57.216.23,
2014-06-24T15:22:54+02:00,194.57.216.23,
2014-06-24T19:38:53+02:00,24.134.157.64,
2014-06-25T08:51:17+02:00,178.182.151.14,
2014-06-25T11:05:16+02:00,15.195.185.81,
2014-06-25T11:55:50+02:00,194.57.216.23,
2014-06-25T12:01:30+02:00,194.57.216.23,
2014-06-25T12:03:30+02:00,194.57.216.23,
2014-06-25T13:38:47+02:00,82.231.148.116,
2014-06-25T16:32:08+02:00,66.11.128.152,
2014-06-25T16:33:48+02:00,66.11.128.152,
2014-06-25T16:39:43+02:00,66.11.128.152,
2014-06-25T17:01:24+02:00,66.11.128.152,
2014-06-25T19:51:49+02:00,66.11.128.152,
2014-06-25T21:13:17+02:00,66.11.128.152,
2014-06-25T22:38:55+02:00,66.11.128.152,
2014-06-25T23:24:56+02:00,66.11.128.152,
